STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP
43,430166,0,1,5,70,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430167,0,1,5,74,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430170,0,1,5,43,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430171,0,1,6,43,2,0,0,0,0,280,7,3,77,1,7,1,7,7,7,7,0,290
43,430171,0,2,6,47,1,0,0,0,0,280,7,3,77,1,7,1,7,7,7,7,0,290
43,430174,0,1,5,84,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430175,0,1,5,68,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430180,0,1,5,77,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430183,0,1,6,49,1,0,0,0,0,280,7,3,77,1,7,1,7,7,7,7,0,290
43,430184,0,1,5,20,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430185,0,1,5,94,2,0,0,0,590,0,3,7,6,7,8,7,8,8,8,8,500,0
43,430187,0,1,5,998,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430188,0,1,5,84,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430190,0,1,5,44,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430191,0,1,5,58,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430192,0,1,5,32,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430196,0,1,5,21,1,0,0,0,520,0,3,7,6,7,8,7,8,8,8,8,500,0
43,430196,0,2,5,60,1,0,0,0,520,0,3,7,6,7,8,7,8,8,8,8,500,0
43,430198,0,1,5,60,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430202,0,1,5,44,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430203,0,1,5,70,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430207,0,1,6,54,1,0,0,0,0,280,7,3,77,1,7,1,7,7,7,7,0,290
43,430208,0,1,5,30,1,0,0,0,320,0,3,7,4,7,8,7,8,8,8,8,350,0
43,430210,0,1,5,83,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430215,0,1,5,25,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430215,0,2,5,22,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430219,0,1,6,54,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430220,0,1,5,72,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430223,0,1,5,50,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430224,0,1,5,56,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430227,0,1,5,42,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430229,0,1,5,14,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430232,0,1,5,27,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430235,0,1,5,63,1,0,0,0,760,0,1,7,1,7,4,7,1,3,1,2b,750,0
43,430236,0,1,5,13,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430236,0,2,5,42,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430236,0,3,5,62,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430238,0,1,5,92,1,1,0,0,770,0,3,7,2,7,8,7,8,8,8,8,750,0
43,430239,0,1,5,70,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430240,0,1,6,13,1,0,0,0,0,250,7,1,77,1,7,1,7,7,7,7,0,258
43,430241,0,1,5,87,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430241,0,2,5,73,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430243,0,1,5,68,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430243,0,2,5,55,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430243,0,3,5,43,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430244,0,1,5,93,2,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0
43,430244,0,2,5,54,2,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0
43,430246,0,1,5,38,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
43,430250,0,1,5,63,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430251,0,1,5,28,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
43,430257,0,1,5,63,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430262,0,1,5,27,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
43,430262,0,2,5,26,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
43,430263,0,1,6,15,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430264,0,1,5,79,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430265,0,1,5,80,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430270,0,1,5,26,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430273,0,1,5,73,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430277,0,1,5,39,2,0,0,0,770,0,1,7,1,7,9,7,2,3,2,4c,750,0
43,430278,0,1,8,16,1,0,0,0,420,0,3,7,3,7,8,7,8,8,8,8,400,0
43,430279,0,1,6,30,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430279,0,2,6,34,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430279,0,3,6,30,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430279,0,4,6,36,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430279,0,5,6,26,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430279,0,6,6,998,1,0,0,0,0,970,7,3,77,1,7,1,7,7,7,7,0,990
43,430280,0,1,5,27,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430281,0,1,5,78,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430282,0,1,5,998,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430284,0,1,5,53,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430288,0,1,5,62,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430292,0,1,8,48,1,0,0,0,420,0,3,7,3,7,8,7,8,8,8,8,400,0
43,430295,0,1,5,80,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430296,0,1,5,55,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430298,0,1,5,57,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
