ST_CASE,VEH_NO,PHARM_EV,PCARGTYP,PSP_USE,PVEH_SEV,PDEATHS
421053,2,14,0,0,2,0
421053,3,14,0,0,2,0
421053,4,14,0,0,2,0
421070,2,14,6,0,4,0
450054,2,14,0,0,0,0
450091,1,12,0,0,6,0
450123,1,8,0,0,4,0
450129,2,34,0,0,4,0
450147,2,1,0,0,6,0
450208,1,8,0,13,4,0
450272,1,14,1,0,6,0
450341,1,33,0,0,4,0
450341,2,33,0,0,4,0
450341,3,33,0,0,4,0
450341,4,33,0,0,4,0
450427,1,14,0,0,6,0
450447,3,12,0,0,0,0
450454,2,14,0,0,4,0
450536,2,14,0,0,0,0
450800,2,34,0,0,4,0
450800,3,34,0,0,4,0
450800,4,34,0,0,4,0
450880,1,34,0,0,6,0
450880,2,34,0,0,6,0
450880,3,34,0,0,6,0
460011,2,14,0,0,6,0
470040,2,14,3,0,4,0
470049,1,8,0,0,6,1
470195,3,12,0,0,2,0
470214,2,53,0,0,6,0
470265,3,12,0,0,4,0
470268,2,8,0,0,6,0
470268,3,8,0,0,6,0
470280,2,14,0,0,6,0
470296,2,14,0,0,2,0
470296,5,14,0,0,6,0
470320,2,14,0,0,6,0
470368,2,33,0,0,2,0
470495,2,34,0,0,4,0
470710,2,45,97,0,6,0
470753,2,14,0,0,6,0
470757,2,14,0,0,6,0
470828,2,8,0,0,2,0
480005,1,14,22,3,6,0
480084,2,14,4,0,6,0
480126,2,73,0,0,6,0
480142,2,14,1,0,4,0
480182,2,1,0,0,8,0
480182,3,1,0,0,8,0
480182,4,1,0,0,8,0
480191,2,8,0,0,4,0
480207,2,33,0,0,2,0
480271,2,14,0,0,6,1
480297,3,12,0,0,4,0
480354,2,14,0,0,2,0
480356,3,12,0,0,2,0
480356,4,12,0,0,2,0
480364,2,14,1,0,2,0
480375,2,45,96,0,2,0
480380,2,8,0,0,6,0
480445,3,12,0,0,2,0
480445,4,12,0,0,4,0
480445,5,12,0,0,0,0
480445,6,12,0,0,2,0
480445,7,12,0,0,2,0
480456,2,14,0,0,6,0
480459,2,14,0,0,6,0
480469,2,14,4,0,2,0
480524,2,14,0,0,2,0
480602,3,12,0,0,0,0
480612,4,12,0,0,2,0
480751,6,12,0,0,6,0
480751,7,12,0,0,6,0
480751,8,12,0,0,6,0
480751,9,12,0,0,6,0
480761,2,14,0,0,6,0
480772,2,8,0,0,6,0
480772,3,8,0,0,6,0
480813,2,45,3,0,6,0
480827,3,12,0,0,4,0
480831,3,12,0,0,2,0
480831,4,12,0,0,2,0
480984,2,14,0,0,6,1
481012,2,14,0,0,6,0
481021,2,45,4,0,6,0
481080,2,14,0,0,2,0
481184,6,12,0,0,6,0
481275,2,14,1,0,6,0
481289,3,12,0,0,4,0
481319,2,14,0,0,6,0
481319,3,14,97,0,2,0
481410,2,53,0,0,2,0
481458,2,42,0,0,2,0
481458,3,42,0,0,2,0
481482,2,14,1,0,6,0
481486,2,14,0,0,2,0
481506,2,14,2,0,2,0
481538,2,9,0,0,2,0
481538,3,9,0,0,2,0
481589,2,14,0,0,6,0
481603,2,1,0,0,2,0
481607,3,14,3,0,6,0
481611,2,14,3,0,6,0
481622,2,14,0,0,4,0
481682,1,14,0,0,6,0
481698,2,30,0,0,4,0
481698,3,30,0,0,2,0
481713,3,12,0,5,2,0
481743,2,14,0,0,6,0
481913,2,14,1,0,2,0
482038,2,14,2,0,6,0
482038,3,14,2,0,2,0
482094,3,12,0,0,2,0
482113,2,25,97,0,2,0
482126,2,14,0,0,6,1
482152,2,14,0,0,2,0
482176,2,14,0,0,6,0
482185,1,14,0,0,6,0
482263,5,12,0,0,6,0
482263,6,12,0,0,2,0
482276,2,14,0,0,6,0
482329,2,14,0,0,6,0
482330,2,14,0,0,6,2
482335,2,33,0,0,2,0
482405,2,14,0,0,2,0
482408,2,42,0,0,8,0
482462,2,14,97,0,4,0
482479,2,14,3,0,6,0
482515,2,14,0,0,6,0
482524,2,14,96,0,2,0
482550,2,51,0,0,6,0
482577,3,12,0,0,2,0
482596,2,14,1,0,6,0
482610,2,33,1,0,6,0
482621,2,14,1,0,6,0
482639,2,14,0,0,6,0
482649,2,14,98,0,2,0
482657,2,8,0,0,6,0
482725,2,14,0,0,4,0
482777,2,14,0,0,6,0
482935,2,14,0,0,6,0
482943,2,14,1,0,2,0
482997,2,14,11,0,2,0
483000,2,8,0,0,2,0
483018,2,14,1,0,6,0
483026,2,14,0,0,4,0
483026,3,14,0,0,2,0
483029,2,14,97,0,4,0
483072,2,9,0,0,2,0
483169,2,14,0,0,2,0
483172,2,8,0,0,2,0
490022,2,14,0,0,6,0
490022,3,14,0,0,2,0
490079,2,14,0,0,6,0
490110,2,14,0,0,6,0
490121,2,59,0,0,6,0
490127,2,14,3,0,4,0
490147,3,12,0,0,6,0
490208,2,8,0,0,2,0
500027,2,14,97,0,6,0
500046,2,14,0,0,8,0
510021,2,14,3,0,6,0
510100,2,34,97,0,8,0
510109,2,8,0,0,6,0
510124,3,12,0,0,8,0
510124,4,12,0,0,8,0
510146,3,12,0,0,8,0
510172,2,59,0,0,6,1
510172,3,59,0,0,9,0
510232,2,18,0,0,8,0
510264,2,14,0,0,6,0
510287,4,12,0,0,8,0
510294,2,45,97,99,8,0
510369,2,14,0,0,8,0
510384,2,14,0,0,6,0
510416,3,12,0,0,6,0
510455,2,14,0,0,6,0
510455,3,14,0,0,6,0
510492,3,12,0,0,8,0
510573,3,12,0,0,6,0
510606,2,14,0,0,6,0
510606,3,14,0,0,8,0
510606,4,14,0,0,8,0
510699,2,14,0,0,6,0
510699,3,14,0,0,6,0
510701,2,33,0,0,8,0
510703,4,12,0,0,8,0
530018,2,14,0,0,8,0
530021,2,14,0,0,8,0
530081,3,1,0,0,8,0
530087,2,14,4,0,8,0
530143,3,12,0,0,8,0
530143,4,12,0,0,8,0
530192,2,8,0,0,6,0
530200,2,33,0,0,8,0
530200,3,33,0,0,8,0
530200,4,33,0,0,8,0
530200,5,33,0,0,8,0
530255,2,8,0,0,8,0
530255,3,8,0,0,8,0
530255,4,8,0,0,8,0
530271,2,14,0,0,8,0
530283,2,14,0,0,6,1
530366,2,30,0,0,8,0
530375,3,12,0,0,8,0
530461,2,14,98,0,8,0
530461,3,14,0,0,8,0
530461,4,14,0,0,8,0
530473,2,14,0,0,8,0
530500,2,14,0,0,6,0
540025,2,14,0,0,6,0
540033,2,8,0,0,6,0
540135,6,12,0,0,6,0
540148,5,12,96,0,4,0
540161,2,42,0,0,6,0
540164,3,12,0,0,2,0
540165,2,34,0,0,2,0
540165,3,34,0,0,2,0
540165,4,34,0,0,4,0
550090,3,12,0,0,4,0
550231,2,33,0,0,2,0
550231,3,33,0,0,2,0
550231,4,33,0,0,2,0
550276,2,14,0,0,0,0
550380,2,14,0,0,6,1
550452,2,33,0,0,6,0
550464,1,14,97,0,0,0
550529,2,12,0,0,6,1
550529,3,12,0,0,6,0
560028,2,14,1,0,6,0
560028,3,14,96,0,6,0
560031,8,12,1,0,6,0
560103,2,14,0,0,6,0
560103,3,14,0,0,6,0
560103,4,14,0,0,6,0
